開催年数,開催月,問番号,科目,問,(1),(2),(3),(4),(5),正答番号,解説
令和1年,10月,22,労働生理,心臓の働きと血液の循環に関する次の記述のうち、誤っているものはどれか。,心臓の中にある洞結節（洞房結節）で発生した刺激が、刺激伝導系を介して心筋に伝わることにより、心臓は規則正しく収縮と拡張を繰り返す。,体循環は、左心室から大動脈に入り、毛細血管を経て静脈血となり右心房に戻ってくる血液の循環である。,肺循環は、右心室から肺動脈を経て肺の毛細血管に入り、肺静脈を通って左心房に戻る血液の循環である。,心臓の拍動は、自律神経の支配を受けている。,大動脈及び肺動脈を流れる血液は、酸素に富む動脈血である。,5,正答は5。肺動脈には右心室から肺へ向かう静脈血が流れており、動脈血ではない。(5)の「大動脈及び肺動脈を流れる血液は酸素に富む動脈血」という記述は肺動脈に関して誤り。肺静脈には動脈血が流れる。
令和1年,10月,23,労働生理,神経系に関する次の記述のうち、誤っているものはどれか。 しょう,神経系は、中枢神経系と末梢神経系に大別され、中枢神経系は脳と脊髄から成る。,大脳の内側の髄質は神経細胞の細胞体が集合した灰白質で、感覚、運動、思考などの作用を支配する中枢として機能する。,神経系を構成する基本的な単位である神経細胞は、通常、1個の細胞体、1本の軸索及び複数の樹状突起から成り、ニューロンともいわれる。,神経系は、機能的には、体性神経と自律神経に分類され、自律神経は更に交感神経と副交感神経に分類される。,体性神経には、感覚器官からの情報を中枢神経に伝える感覚神経と、中枢神経からの命令を運動器官に伝える運動神経がある。,2,正答は2。大脳は外側の皮質が神経細胞の細胞体が集まる灰白質であり、感覚・運動・思考等を支配する中枢として機能する。内側の髄質は神経線維が集まる白質である。(2)の「内側の髄質は灰白質」という記述は誤り。
令和1年,10月,24,労働生理,消化器系に関する次の記述のうち、誤っているものはどれか。 たん,三大栄養素のうち、糖質はブドウ糖などに、蛋白質はアミノ酸に、脂肪は脂肪酸とグリセリンに酵素により分解されて吸収される。,無機塩、ビタミン類は、酵素による分解を受けないでそのまま吸収される。 すい,膵臓から十二指腸に分泌される膵液には、消化酵素は含まれていないが、血糖値を調節するホルモンが含まれている。,ペプシノーゲンは、胃酸によってペプシンという消化酵素になり、蛋白質を消化する。 じゅう,小腸の表面は、ビロード状の絨毛という小突起で覆われており、栄養素の吸収の効率を上げるために役立っている。,3,正答は3。膵液には多様な消化酵素（アミラーゼ・リパーゼ・トリプシン等）が含まれている。血糖値を調節するインスリン等のホルモンは内分泌として血液中に直接分泌されるものであり、膵液（外分泌液）には含まれない。(3)の「消化酵素は含まれていない」という記述は誤り。
令和1年,10月,25,労働生理,腎臓又は尿に関する次の記述のうち、正しいものはどれか。 のう,血中の老廃物は、尿細管からボウマン嚢に濾こし出される。 たん,血中の蛋白質は、糸球体からボウマン嚢に濾し出される。,血中のグルコースは、糸球体からボウマン嚢に濾し出される。,原尿中に濾し出された電解質の多くは、ボウマン嚢から血中に再吸収される。,原尿中に濾し出された水分の大部分は、そのまま尿として排出される。,3,正答は3。糸球体ではタンパク質以外の血漿成分がボウマン嚢に濾し出され、グルコースも濾し出されるが尿細管でほぼ全量再吸収される。(3)の「血中のグルコースは糸球体からボウマン嚢に濾し出される」という記述は正しい。(1)老廃物は糸球体から濾し出される、(2)タンパク質は通常濾し出されない、(4)再吸収は尿細管で行われる、(5)水分の大部分は再吸収される。
令和1年,10月,26,労働生理,血液に関する次の記述のうち、正しいものはどれか。 しょうたん,血漿中の蛋白質のうち、アルブミンは血液の浸透圧の維持に関与している。,血漿中の水溶性蛋白質であるフィブリンがフィブリノーゲンに変化する現象が、血液の凝集反応である。,赤血球は、損傷部位から血管外に出ると、血液凝固を促進させる物質を放出する。,血液中に占める白血球の容積の割合をヘマトクリットといい、感染や炎症があると増加する。,血小板は、体内に侵入してきた細菌やウイルスを貪食する働きがある。,1,正答は1。血漿中のアルブミンは血液の浸透圧の維持に関与しており、(1)の記述は正しい。(2)フィブリノーゲンがフィブリンに変化するのが血液凝固、(3)血液凝固を促進する物質を放出するのは血小板、(4)ヘマトクリットは赤血球の容積割合、(5)細菌等を貪食するのは白血球（好中球等）。
令和1年,10月,27,労働生理,視覚に関する次の記述のうち、誤っているものはどれか｡ こう,眼をカメラに例えると、虹彩は、しぼりの働きをする。,眼は、硝子体の厚さを変えることにより焦点距離を調節して網膜の上に像を結ぶようにしている。,角膜が歪んでいたり、表面に凹凸があるために、 眼軸などに異常がなくても、物体の像が網膜上に正しく結ばないものを乱視という。 すい,網膜には、明るい所で働き色を感じる錐状体と、 かん暗い所で働き弱い光を感じる杆状体の2種類の視細胞がある。,明るいところから急に暗いところに入ると、初めは見えにくいが暗順応によって徐々に見えるようになる。,2,正答は2。眼の焦点調節は水晶体（レンズ）の厚さを毛様体筋の収縮・弛緩により変えることで行われる。(2)の「硝子体の厚さを変える」という記述は誤りで、硝子体は眼球内を満たすゲル状物質であり焦点調節には関与しない。
令和1年,10月,28,労働生理,抗体に関する次の文中の内に入れるA からCの語句の組合せとして、適切なものは次のうちどれか。 「抗体とは、体内に入ってきた A に対して B 免疫において作られる C と呼ばれる蛋白質のことで、A に特異的に結合し、A の働きを抑える働きがある。」 A B C,化学物質体液性アルブミン,化学物質細胞性免疫グロブリン,抗原体液性アルブミン,抗原細胞性アルブミン,抗原体液性免疫グロブリン,5,正答は5。抗体とは体内に入ってきた「抗原」に対して「体液性」免疫において作られる「免疫グロブリン」と呼ばれる蛋白質である。A＝抗原、B＝体液性、C＝免疫グロブリンの組合せ(5)が正答。
令和1年,10月,29,労働生理,代謝に関する次の記述のうち、正しいものはどれか。,代謝において、細胞に取り入れられた体脂肪やグリコーゲンなどが分解されてエネルギーを発生し、ATPが生産されることを同化という。,代謝において、体内に摂取された栄養素が、 種々の化学反応によって、ATPに蓄えられたエネルギーを用いて、細胞を構成する蛋白質などの生体に必要な物質に合成されることを異化という。,基礎代謝は、心臓の拍動、呼吸運動、体温保持などに必要な代謝で、基礎代謝量は、覚醒・横臥・安静時の測定値で表される。,エネルギー代謝率は、一定時間中に体内で消費された酸素と排出された二酸化炭素の容積比で表される。,エネルギー代謝率は、生理的負担だけでなく、 精神的作業や静的筋作業の強度を表す指標としても用いられる。,3,正答は3。基礎代謝は心拍動・呼吸運動・体温保持などに必要な代謝であり、基礎代謝量は覚醒・横臥・安静の状態で測定した値で表される。(3)の記述は正しい。(1)分解してエネルギーを発生させるのは異化（カタボリズム）、(2)合成は同化（アナボリズム）、(4)RQは呼吸商のこと。
令和1年,10月,30,労働生理,睡眠に関する次の記述のうち、誤っているものはどれか。,睡眠と覚醒のリズムのように、約1日の周期で繰り返される生物学的リズムをサーカディアンリズムといい、このリズムの乱れは、疲労や睡眠障害の原因となる。,睡眠は、睡眠中の目の動きなどによって、レム睡眠とノンレム睡眠に分類される。,コルチゾールは、血糖値の調節などの働きをするホルモンで、通常、その分泌量は明け方から増加し始め、起床前後で最大となる。,レム睡眠は、安らかな眠りで、この間に脳は休んだ状態になっている。,メラトニンは、睡眠に関与しているホルモンである。,4,正答は4。レム睡眠は浅い睡眠で脳が活発に活動しており夢を見ることが多い状態であり、「脳が休んだ状態」というのはノンレム睡眠（特に深睡眠）の特徴である。(4)の記述は誤り。
平成31年,4月,1,関係法令,事業場の衛生管理体制に関する次の記述のうち、法令上、定められていないものはどれか｡ ただし、衛生管理者及び産業医の選任の特例はないものとする。,総括安全衛生管理者の選任は、総括安全衛生管理者を選任すべき事由が発生した日から14日以内に行わなければならない。,"常時1,000人を超え2,000人以下の労働者を使用する事業場では、4人以上の衛生管理者を選任しなければならない。",常時50人以上の労働者を使用するゴルフ場業の事業場では、第二種衛生管理者免許を有する者のうちから衛生管理者を選任することができる。,"常時1,000人以上の労働者を使用する事業場では、その事業場に専属の産業医を選任しなければならない。","常時500人を超え1,000人以下の労働者を使用し、そのうち、深夜業を含む業務に常時30人以上の労働者を従事させる事業場では、衛生管理者のうち少なくとも1人を専任の衛生管理者としなければならない。",5,"正答は5。(5)では500人超1,000人以下の事業場に専任衛生管理者が必要とされる条件について誤った記述が含まれている。専任衛生管理者が必要なのは常時1,000人超の事業場または常時500人超で一定の有害業務に30人以上従事させる事業場であり、条件が正確に記されていないため誤り。"
平成31年,4月,2,関係法令,常時使用する労働者数が300人で、次の業種に属する事業場のうち、法令上、総括安全衛生管理者の選任が義務付けられていない業種はどれか。,通信業,各種商品小売業,旅館業,ゴルフ場業,医療業,5,正答は5。総括安全衛生管理者の選任義務が生じる業種と規模は定められており、医療業は選任義務業種に含まれていない。通信業・各種商品小売業・旅館業・ゴルフ場業は300人以上で義務が生じるが、医療業は対象外であるため(5)が正答。
平成31年,4月,3,関係法令,産業医の職務として、法令に定められていない事項は次のうちどれか。 ただし、次のそれぞれの事項のうち医学に関する専門的知識を必要とするものに限るものとする。,衛生教育に関すること。,作業環境の維持管理に関すること。,作業の管理に関すること。,労働者の健康障害の原因の調査及び再発防止のための措置に関すること。,安全衛生に関する方針の表明に関すること。,5,正答は5。安全衛生に関する方針の表明は事業者が行うものであり、産業医の職務として法令上定められていない。産業医の職務は健康診断・面接指導・作業環境管理・健康障害の調査等であるため、(5)が正答。
平成31年,4月,4,関係法令,労働安全衛生規則に基づく医師による雇入時の健康診断に関する次の記述のうち、誤っているものはどれか。,医師による健康診断を受けた後、3か月を経過しない者を雇い入れる場合、その健康診断の結果を証明する書面の提出があったときは、その健康診断の項目に相当する雇入時の健康診断の項目を省略することができる。,"雇入時の健康診断における聴力の検査は、 1,000ヘルツ及び3,000ヘルツの音に係る聴力について行わなければならない。",雇入時の健康診断の項目には、血糖検査が含まれているが、血液中の尿酸濃度の検査は含まれていない。,雇入時の健康診断の結果に基づき、健康診断個人票を作成して、これを5年間保存しなければならない。,雇入時の健康診断の結果については、事業場の規模にかかわらず、所轄労働基準監督署長に報告する必要はない。,2,"正答は2。雇入時の健康診断における聴力検査は、1,000Hzと4,000Hzの音について行わなければならない。(2)では「1,000Hzと3,000Hz」としているが、正しくは4,000Hzであるため誤り。"
平成31年,4月,5,関係法令,労働時間の状況等が一定の要件に該当する労働者に対して、法令により実施することとされている医師による面接指導の結果に基づく記録に記載しなければならない事項として定められていないものは、次のうちどれか。,面接指導を行った医師の氏名,面接指導を受けた労働者の氏名,面接指導を受けた労働者の家族の状況,面接指導を受けた労働者の疲労の蓄積の状況,面接指導の結果に基づき、労働者の健康を保持するために必要な措置について医師から聴取した意見,3,正答は3。面接指導結果の記録事項として定められているのは、医師の氏名・労働者の氏名・疲労の蓄積状況・医師の意見等であり、「労働者の家族の状況」は記録事項として定められていない。(3)が正答。
平成31年,4月,6,関係法令,雇入れ時の安全衛生教育に関する次の記述のうち、法令上、誤っているものはどれか。,1か月以内の期間を定めて雇用するパートタイム労働者についても、教育を行わなければならない。,教育事項の全部又は一部に関し十分な知識及び技能を有していると認められる労働者については、当該事項についての教育を省略することができる。,金融業の事業場においては、教育事項のうち、 「整理、整頓及び清潔の保持に関すること」については省略することができない。,各種商品小売業の事業場においては、教育事項のうち、「作業手順に関すること」については省略することができる。,警備業の事業場においては、教育事項のうち、 「作業開始時の点検に関すること」については省略することができる。 A 以,4,正答は4。各種商品小売業は有害業務を伴わない業種であるが、「整理・整頓・清潔の保持」等一部の教育事項は省略できても「作業手順に関すること」は省略できない業種に該当する。(4)の「省略することができる」という記述は誤り。
平成31年,4月,7,関係法令,事業場の建築物、施設等に関する措置について、労働安全衛生規則の衛生基準に違反していないものは次のうちどれか。,日常行う清掃のほか、大掃除を、1年以内ごとに1回、定期に、統一的に行っている。,男性20人、女性25人の労働者を常時使用しがている事業場で、労働者が臥床することのできる休養室又は休養所を、男性用と女性用に区別して設けていない。,事業場に附属する食堂の炊事従業員について、 専用の便所を設けているほか、一般の労働者と共用の休憩室を備えている。,事業場に附属する食堂の床面積を、食事の際の1人について、0.8m2としている。,労働衛生上の有害業務を有しない事業場において、窓その他の開口部の直接外気に向って開放することができる部分の面積が、常時床面積の25分の1である屋内作業場に、換気設備を設けていない。,2,正答は2。男性20人・女性25人の事業場では、合計45人で50人未満かつ女性25人で30人未満であるため、休養室の男女別設置義務は生じない（義務は常時50人以上または常時女性30人以上）。(2)は違反していない。(1)大掃除は6か月以内ごとに1回が正しく1年は違反、(3)炊事従業員には専用休憩室が必要、(4)食堂は1人1m2以上必要で0.8m2は違反。
平成31年,4月,8,関係法令,事務室の空気環境の調整に関する次の文中の内に入れる A 及び B の数値の組合せとして、法令上、正しいものは（1）～（5）のうちどれか。 「① 空気調和設備又は機械換気設備を設けている場合は、室に供給される空気については、 1気圧、温度25℃とした場合の当該空気中に占める二酸化炭素の含有率が100万分の下となるように、当該設備を調整しなければならない。 ② ①の設備により室に流入する空気が、特定の労働者に直接、継続して及ばないようにし、 かつ、室の気流をばならない。」 A B,"1,000 0.3","1,000 0.5","2,000 0.3","2,000 0.5","2,000 1B m/s 以下としなけれ",2,"正答は2。事務室への供給空気の基準として、CO2濃度はA＝1,000ppm以下・室内気流はB＝0.5m/s以下と定められている。(2)の組合せ「1,000・0.5」が正答。"
平成31年,4月,9,関係法令,労働基準法に定める妊産婦に関する次の記述のうち、法令上、誤っているものはどれか。 ただし、労使協定とは、「労働者の過半数で組織する労働組合（その労働組合がない場合は労働者の過半数を代表する者）と使用者との書面による協定」をいい、また、管理監督者等とは、 「監督又は管理の地位にある者等、労働時間、 休憩及び休日に関する規定の適用除外者」をいう。,時間外・休日労働に関する労使協定を締結し、 これを所轄労働基準監督署長に届け出ている場合であっても、妊産婦が請求した場合には、 管理監督者等の場合を除き、時間外・休日労働をさせてはならない。,1か月単位の変形労働時間制を採用している場合であっても、妊産婦が請求した場合には、管理監督者等の場合を除き、 1週40時間及び1日8時間を超えて労働させてはならない。,1年単位の変形労働時間制を採用している場合であっても、妊産婦が請求した場合には、管理監督者等の場合を除き、1週40時間及び1日8時間を超えて労働させてはならない。,フレックスタイム制を採用している場合であっても、妊産婦が請求した場合には、管理監督者等の場合を除き、フレックスタイム制による労働をさせてはならない。,妊産婦が請求した場合には、管理監督者等の場合であっても、深夜業をさせてはならない。,4,正答は4。フレックスタイム制は清算期間を通じて週平均40時間を超えない範囲で設定する制度であり、妊産婦がフレックスタイム制からの除外を請求できるという規定は定められていない。(4)の記述は誤り。
平成31年,4月,10,関係法令,労働基準法に定める育児時間に関する次の記述のうち、誤っているものはどれか。,生後満1年を超え、満2年に達しない生児を育てる女性労働者は、育児時間を請求することができる。,育児時間は、必ずしも有給としなくてもよい。,育児時間は、原則として、1日2回、1回当たり少なくとも30分の時間を請求することができる。,育児時間を請求しない女性労働者に対しては、 育児時間を与えなくてもよい。,育児時間は、育児時間を請求することができる女性労働者が請求する時間に与えなければならない。,1,正答は1。育児時間を請求できるのは生後満1年に達しない生児を育てる女性労働者であり、満1年を超えた生児を育てる者は対象外である。(1)の「満1年を超え、満2年に達しない」は対象外であるため誤り。
平成31年,4月,11,労働衛生,"事務室内において、空気を外気と入れ換えて二酸化炭素濃度を1,000ppm以下に保った状態で、在室することのできる最大の人数は次のうちどれか。 ただし、外気の二酸化炭素濃度を400ppm、 外気と入れ換える空気量を500m3/h、1人当たりの呼出二酸化炭素量を0.016m3/h とする。",14人,16人,18人,20人,22人,3,"正答は3。在室最大人数N＝換気量×（基準濃度－外気濃度）÷（1人当たりCO2排出量×1,000,000）で算出。N＝500×（1000－400）÷（0.016×1,000,000）＝500×600÷16,000＝18.75≒18人。正答は(3)18人。"
平成31年,4月,12,労働衛生,WBGT（湿球黒球温度）は、作業者が受ける暑熱環境による熱ストレスの評価を行うための指標として有用であるが、次の Aから D の温熱要素の測定値のうち、屋内の場合又は屋外で太陽照射がない場合の WBGT を算出するために必要なものの組合せは次のうちどれか。 A 乾球温度 B 自然湿球温度 C 黒球温度 D 気流,A，B,A，C,B，C,B，D,C，D,3,正答は3。屋内または屋外で太陽照射がない場合のWBGTの算出には自然湿球温度（B）と黒球温度（C）の2つが必要であり、WBGT＝0.7×B＋0.3×Cで算出する。正答は(3)B，Cの組合せ。
平成31年,4月,13,労働衛生,厚生労働省の「事業場における労働者の健康保持増進のための指針」に基づく健康保持増進対策に関する次の記述のうち、誤っているものはどれか。,健康保持増進計画で定める事項には、事業者が健康保持増進を積極的に推進する旨の表明に関することが含まれる。,健康保持増進計画を継続的に推進するため、衛生管理者、衛生推進者等から総括的推進担当者を選任する。,産業医は、健康測定を実施し、その結果に基づいて個人ごとの指導票を作成する。,健康測定の結果に基づき、個々の労働者に対して運動実践の指導を行う産業保健指導担当者を配置する。,健康保持増進措置を実施するためのスタッフの確保が事業場内で困難な場合は、労働者の健康の保持増進のための業務を行う外部のサービス機関などに委託して実施する。,4,正答は4。健康測定の結果に基づき個々の労働者への運動実践の指導を行う担当者は「産業保健指導担当者」であるが、(4)では「産業保健指導担当者を配置する」という記述自体に誤りがある。運動実践の指導は運動指導担当者が行うものとされており、産業保健指導担当者は保健指導等を担当するため(4)が誤り。
平成31年,4月,14,労働衛生,厚生労働省の「職場における腰痛予防対策指針」に基づく、重量物取扱い作業などにおける腰痛予防対策に関する次の記述のうち、 正しいものはどれか。,満18歳以上の男子労働者が人力のみで取り扱う物の重量は、体重のおおむね50％以下となるようにする。,腰部保護ベルトは、全員に使用させるようにする。,立ち作業時は身体を安定に保持するため、床面は弾力性のない硬い素材とする。,腰掛け作業の場合の作業姿勢は、椅子に深く腰を掛けて、背もたれで体幹を支え、履物の足裏全体が床に接する姿勢を基本とする。,腰部に著しい負担のかかる作業に常時従事する労働者に対しては、1年以内ごとに1回、定期に、腰痛の健康診断を実施する。,4,正答は4。腰掛け作業の基本姿勢は椅子に深く腰を掛けて背もたれで体幹を支え、履物の足裏全体が床に接する姿勢とされており、(4)の記述は正しい。(1)男性は体重の40%以下、(2)腰部保護ベルトは全員への義務付けなし、(3)床面は弾力性のある素材が望ましい、(5)配置後の健康診断は6か月以内ごとが正しい。
平成31年,4月,15,労働衛生,厚生労働省の「VDT作業における労働衛生管理のためのガイドライン」に基づく措置に関する次の記述のうち、誤っているものはどれか。,ディスプレイ画面上における照度は、500ルクス以下になるようにする。,書類上及びキーボード上における照度は、300ルクス以上になるようにする。,ディスプレイは、おおむね40cm以上の視距離が確保できるようにし、画面の上端が眼と同じ高さか、やや下になるようにする。,単純入力型又は拘束型に該当する VDT作業については、一連続作業時間が1時間を超えないようにし、次の連続作業までの間に10～15分の作業休止時間を設け、かつ、一連続作業時間内において1～2回程度の小休止を設けるようにする。,VDT 作業健康診断では、原則として、視力検査、上肢及び下肢の運動機能検査などを行う。,5,正答は5。VDT作業健康診断では視力検査・屈折検査等の眼科学的検査と上肢の運動機能検査等が行われるが、「下肢の運動機能検査」はVDT作業健康診断の項目に含まれていない。(5)の「下肢の運動機能検査」という記述は誤り。
平成31年,4月,16,労働衛生,一次救命処置に関する次の記述のうち、誤っているものはどれか。,傷病者の反応がない場合は、その場で大声で叫んで周囲の注意を喚起し、協力者を確保する。,周囲に協力者がいる場合は、 119番通報や AED （自動体外式除細動器）の手配を依頼する。,口対口人工呼吸は、傷病者の気道を確保してから鼻をつまみ、1回の吹き込みに約3秒かけて傷病者の胸の盛り上がりが見える程度まで吹き込む。,胸骨圧迫は、胸が約5cm む強さで、1分間に100～120回のテンポで行う。,AEDを用いた場合、心電図の自動解析の結果 「ショックは不要です」などのメッセージが流それたときには、胸骨圧迫を開始し心肺蘇生を続ける。,3,正答は3。口対口人工呼吸での吹き込みは1回1秒程度が正しく、約3秒かけるのは誤り。(3)の「1回の吹き込みに約3秒かけて」という記述は誤り。
平成31年,4月,17,労働衛生,脳血管障害及び虚血性心疾患に関する次の記述のうち、誤っているものはどれか｡,脳血管障害は、脳の血管の病変が原因で生じ、 出血性病変、虚血性病変などに分類される。 くう,出血性の脳血管障害は、脳表面のくも膜下腔に出血するくも膜下出血、脳実質内に出血する脳出血などに分類される。,虚血性の脳血管障害である脳梗塞は、脳血管自体の動脈硬化性病変による脳血栓症と、心臓や動脈壁の血栓などが剥がれて脳血管を閉塞する脳塞栓症に分類される。,虚血性心疾患は、門脈による心筋への血液の供給が不足したり途絶えることにより起こる心筋障害である。,虚血性心疾患は、心筋の一部分に可逆的虚血がえ起こる狭心症と、不可逆的な心筋壊死が起こる心筋梗塞とに大別される。,4,正答は4。虚血性心疾患は冠動脈による心筋への血液供給が不足することにより起こる疾患である。(4)では「門脈」としているが、門脈は消化管から肝臓へ血液を運ぶ血管であり、心臓への血液供給は冠動脈が担うため誤り。
平成31年,4月,18,労働衛生,出血及び止血法に関する次の記述のうち、 誤っているものはどれか。,体内の全血液量は、体重の約8％で、その約3分の1を短時間に失うと生命が危険な状態となる。,止血法には、直接圧迫法、間接圧迫法などがあるが、一般人が行う応急手当としては直接圧迫法が推奨されている。,静脈性出血は、傷口からゆっくり持続的に湧き出るような出血で、通常、直接圧迫法で止血する。,止血帯を施した後、受傷者を医師に引き継ぐまでに1時間以上かかる場合には、止血帯を施してから1時間ごとに1～2分間、出血部から血液がにじんでくる程度まで結び目をゆるめる。,止血を行うときは、処置者の感染防止のため、 ビニール手袋を着用したりビニール袋を活用したりして、受傷者の血液に直接触れないようにする。,4,正答は4。止血帯を施した後に医師に引き継ぐまでに30分以上かかる場合は、30分ごとに1〜2分間緩めることが正しい。(4)の「1時間以上かかる場合に1時間ごと」という記述は誤り。
平成31年,4月,19,労働衛生,食中毒に関する次の記述のうち、正しいものはどれか。,毒素型食中毒は、食物に付着した細菌により産生された毒素によって起こる食中毒で、代表的なものとしてサルモネラ菌によるものがある。,感染型食中毒は、食物に付着した細菌そのものの感染によって起こる食中毒で、代表的なものとして黄色ブドウ球菌によるものがある。,O-157は、腸管出血性大腸菌の一種で、加熱不足の食肉などから摂取され、潜伏期間は3～5日である。,ボツリヌス菌は、缶詰や真空パックなど酸素のない密封食品中でも増殖するが、熱には弱く、 80℃程度で殺菌することができる。,赤身魚などに含まれるヒスチジンが細菌により分解されて生成されるヒスタミンは、加熱調理によって分解する。,3,正答は3。O-157は腸管出血性大腸菌の一種でベロ毒素を産生し、加熱不足の食肉等から摂取され潜伏期間は3〜5日とされる。(3)の記述は正しい。(1)サルモネラ菌は感染型、(2)黄色ブドウ球菌は毒素型、(4)ボツリヌス毒素は熱に弱いが芽胞は耐熱性あり、(5)ヒスタミンに関する記述の後半が不明だが(3)が正しい。
平成31年,4月,20,労働生理,労働者の健康保持増進のために行う健康測定における運動機能検査の項目とその測定種目との組合せとして、誤っているものは次のうちどれか。,筋力 …………… 握力,柔軟性 ………… 上体起こし,平衡性 ………… 閉眼（又は開眼）片足立ち,敏しょう性 …… 全身反応時間,全身持久性 …… 最大酸素摂取量,2,正答は2。柔軟性の測定種目は立位体前屈または座位体前屈であり、上体起こしは筋持久力（腹筋力）の測定種目である。(2)の「柔軟性→上体起こし」の組合せは誤り。
平成31年,4月,21,労働生理,呼吸に関する次の記述のうち、正しいものはどれか。 ろっ,呼吸運動は、主として肋間筋と横隔膜の協調運動によって胸郭内容積を周期的に増減し、それに伴って肺を伸縮させることにより行われる。,肺胞内の空気と肺胞を取り巻く毛細血管中の血液との間で行われるガス交換は、内呼吸である。,成人の呼吸数は、通常、1分間に16～20回であるが、食事、入浴及び発熱によって減少する。,呼吸に関与する筋肉は、間脳の視床下部にある呼吸中枢によって支配されている。,身体活動時には、血液中の窒素分圧の上昇により呼吸中枢が刺激され、1回換気量及び呼吸数が増加する。,1,正答は1。呼吸運動は主として肋間筋と横隔膜の協調運動によって胸郭内容積を周期的に増減させて行われるという(1)の記述は正しい。(2)肺胞でのガス交換は外呼吸（内呼吸は誤り）、(3)食事・入浴・発熱では呼吸数は増加（減少は誤り）、(4)呼吸中枢は延髄（視床下部は誤り）、(5)活動時は二酸化炭素分圧の上昇で刺激（窒素は誤り）。
平成31年,4月,22,労働生理,心臓の働きと血液の循環に関する次の記述のうち、誤っているものはどれか。,心臓の中にある洞結節（洞房結節）で発生した刺激が、刺激伝導系を介して心筋に伝わることにより、心臓は規則正しく収縮と拡張を繰り返す。,体循環は、左心室から大動脈に入り、毛細血管を経て静脈血となり右心房に戻ってくる血液の循環である。,肺循環は、右心室から肺静脈を経て肺の毛細血管に入り、肺動脈を通って左心房に戻る血液の循環である。,心臓の拍動は、自律神経の支配を受けている。,大動脈及び肺静脈を流れる血液は、酸素に富む動脈血である。,3,正答は3。肺循環は右心室から肺動脈を経て肺の毛細血管に入り、ガス交換後に肺静脈を通って左心房に戻る血液の循環である。(3)では「右心室から肺静脈を経て…肺動脈を通って」と肺動脈と肺静脈が逆になっており誤り。
平成31年,4月,23,労働生理,体温調節に関する次の記述のうち、正しいものはどれか。,体温調節中枢は、脳幹の延髄にある。,体温調節のように、外部環境が変化しても身体内部の状態を一定に保つ生体の仕組みを同調性といい、筋肉と神経系により調整されている。,寒冷な環境においては、皮膚の血管が拡張して血流量を増し、皮膚温を上昇させる。,計算上、体重70kgの人の体表面から10gの汗が蒸発すると、体温が約1℃下がる。,人間は発汗のほかに、常時、呼気や皮膚表面からも水分を蒸発させており、この蒸発のことをせつ不感蒸泄という。,5,正答は5。発汗以外に呼気や皮膚表面から常時水分を蒸発させている現象を不感蒸泄といい、(5)の記述は正しい。(1)体温調節中枢は間脳の視床下部（延髄は誤り）、(2)恒常性（ホメオスタシス）が正しく同調性は誤り、(3)寒冷時は皮膚血管が収縮（拡張は誤り）、(4)10gの蒸発では約0.14℃低下（1℃は誤り）。
平成31年,4月,24,労働生理,血液に関する次の記述のうち、誤っているものはどれか。,赤血球は、骨髄で産生され、寿命は約120日であり、血球の中で最も多い。,血液中に占める赤血球の容積の割合をヘマトクリットといい、貧血になるとその値は低くなる。,好中球は、白血球の約60％を占め、偽足を出してアメーバ様運動を行い、体内に侵入してきた細菌などを貪食する。,リンパ球は、白血球の約30％を占め、T リンパ球や Bリンパ球などの種類があり、免疫反応に関与している。,ABO式血液型は、白血球による血液型分類の一つで、A型血液の血清は抗 A抗体をもつ。,5,正答は5。ABO式血液型は赤血球による血液型分類の一つであり、A型血液の血清は抗B抗体を持つ。(5)では「白血球による分類」としているが正しくは赤血球の表面抗原による分類であり誤り。また「A型血液の血清は抗A抗体をもつ」も誤りで、正しくは抗B抗体を持つ。
平成31年,4月,25,労働生理,消化器系に関する次の記述のうち、誤っているものはどれか。 たん,三大栄養素のうち糖質はブドウ糖などに、 蛋白質はアミノ酸に、脂肪は脂肪酸とグリセリンに、 酵素により分解されて吸収される。,無機塩やビタミン類は、酵素による分解を受けないでそのまま吸収される。 すい,膵臓から十二指腸に分泌される膵液には、消化酵素は含まれていないが、血糖値を調節するホルモンが含まれている。,ペプシノーゲンは、胃酸によってペプシンという消化酵素になり、蛋白質を分解する。 じゅう,小腸の表面は、ビロード状の絨毛という小突起で覆われており、栄養素の吸収の効率を上げるために役立っている。,3,正答は3。膵液には多様な消化酵素（アミラーゼ・リパーゼ・トリプシン等）が含まれている。血糖値を調節するインスリン等のホルモンは内分泌として血液中に直接分泌されるもので膵液（外分泌）には含まれない。(3)の「消化酵素は含まれていない」という記述は誤り。
平成31年,4月,26,労働生理,次のうち、正常値に男女による差がないとされているものはどれか。,赤血球数,ヘモグロビン量,血小板数,基礎代謝量,ヘマトクリット値,3,正答は3。赤血球数・ヘモグロビン量・基礎代謝量・ヘマトクリット値は男女間で差がある。血小板数は男女による有意な差がないとされているため(3)が正答。
